1. Список всех процессов: 
UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 11:53 ?        00:00:11 /sbin/init
root           2       0  0 11:53 ?        00:00:00 [kthreadd]
root           3       2  0 11:53 ?        00:00:00 [rcu_gp]
root           4       2  0 11:53 ?        00:00:00 [rcu_par_gp]
root           6       2  0 11:53 ?        00:00:00 [kworker/0:0H-kblockd]
root           8       2  0 11:53 ?        00:00:00 [mm_percpu_wq]
root           9       2  0 11:53 ?        00:00:02 [ksoftirqd/0]
root          10       2  0 11:53 ?        00:00:00 [rcuc/0]
root          11       2  0 11:53 ?        00:00:07 [rcu_preempt]
root          12       2  0 11:53 ?        00:00:00 [rcub/0]
root          13       2  0 11:53 ?        00:00:00 [migration/0]
root          14       2  0 11:53 ?        00:00:00 [idle_inject/0]
root          16       2  0 11:53 ?        00:00:00 [cpuhp/0]
root          17       2  0 11:53 ?        00:00:00 [cpuhp/1]
root          18       2  0 11:53 ?        00:00:00 [idle_inject/1]
root          19       2  0 11:53 ?        00:00:00 [migration/1]
root          20       2  0 11:53 ?        00:00:00 [rcuc/1]
root          21       2  0 11:53 ?        00:00:00 [ksoftirqd/1]
root          23       2  0 11:53 ?        00:00:00 [kworker/1:0H-kblockd]
root          24       2  0 11:53 ?        00:00:00 [cpuhp/2]
root          25       2  0 11:53 ?        00:00:00 [idle_inject/2]
root          26       2  0 11:53 ?        00:00:00 [migration/2]
root          27       2  0 11:53 ?        00:00:00 [rcuc/2]
root          28       2  0 11:53 ?        00:00:00 [ksoftirqd/2]
root          30       2  0 11:53 ?        00:00:00 [kworker/2:0H-kblockd]
root          31       2  0 11:53 ?        00:00:00 [cpuhp/3]
root          32       2  0 11:53 ?        00:00:00 [idle_inject/3]
root          33       2  0 11:53 ?        00:00:00 [migration/3]
root          34       2  0 11:53 ?        00:00:00 [rcuc/3]
root          35       2  0 11:53 ?        00:00:01 [ksoftirqd/3]
root          37       2  0 11:53 ?        00:00:00 [kworker/3:0H-kblockd]
root          38       2  0 11:53 ?        00:00:00 [kdevtmpfs]
root          39       2  0 11:53 ?        00:00:00 [netns]
root          40       2  0 11:53 ?        00:00:00 [rcu_tasks_kthre]
root          41       2  0 11:53 ?        00:00:00 [kauditd]
root          44       2  0 11:53 ?        00:00:00 [khungtaskd]
root          45       2  0 11:53 ?        00:00:00 [oom_reaper]
root          46       2  0 11:53 ?        00:00:00 [writeback]
root          47       2  0 11:53 ?        00:00:00 [kcompactd0]
root          48       2  0 11:53 ?        00:00:00 [ksmd]
root          49       2  0 11:53 ?        00:00:00 [khugepaged]
root          93       2  0 11:53 ?        00:00:00 [kintegrityd]
root          94       2  0 11:53 ?        00:00:00 [kblockd]
root          95       2  0 11:53 ?        00:00:00 [blkcg_punt_bio]
root          96       2  0 11:53 ?        00:00:00 [edac-poller]
root          97       2  0 11:53 ?        00:00:00 [devfreq_wq]
root          98       2  0 11:53 ?        00:00:00 [watchdogd]
root         101       2  0 11:53 ?        00:00:00 [kswapd0]
root         103       2  0 11:53 ?        00:00:00 [kthrotld]
root         104       2  0 11:53 ?        00:00:00 [acpi_thermal_pm]
root         105       2  0 11:53 ?        00:00:00 [nvme-wq]
root         106       2  0 11:53 ?        00:00:00 [nvme-reset-wq]
root         107       2  0 11:53 ?        00:00:00 [nvme-delete-wq]
root         109       2  0 11:53 ?        00:00:00 [ipv6_addrconf]
root         118       2  0 11:53 ?        00:00:00 [kstrp]
root         132       2  0 11:53 ?        00:00:00 [charger_manager]
root         158       2  0 11:53 ?        00:00:00 [sdhci]
root         159       2  0 11:53 ?        00:00:00 [irq/16-mmc0]
root         161       2  0 11:53 ?        00:00:00 [ata_sff]
root         163       2  0 11:53 ?        00:00:00 [scsi_eh_0]
root         164       2  0 11:53 ?        00:00:00 [scsi_tmf_0]
root         165       2  0 11:53 ?        00:00:00 [scsi_eh_1]
root         166       2  0 11:53 ?        00:00:00 [scsi_tmf_1]
root         167       2  0 11:53 ?        00:00:00 [scsi_eh_2]
root         168       2  0 11:53 ?        00:00:00 [scsi_tmf_2]
root         169       2  0 11:53 ?        00:00:00 [scsi_eh_3]
root         170       2  0 11:53 ?        00:00:00 [scsi_tmf_3]
root         171       2  0 11:53 ?        00:00:00 [scsi_eh_4]
root         172       2  0 11:53 ?        00:00:00 [scsi_tmf_4]
root         173       2  0 11:53 ?        00:00:00 [scsi_eh_5]
root         174       2  0 11:53 ?        00:00:00 [scsi_tmf_5]
root         197       2  0 11:53 ?        00:00:01 [kworker/1:1H-events_highpri]
root         204       2  0 11:53 ?        00:00:01 [kworker/2:1H-events_highpri]
root         211       2  0 11:53 ?        00:00:00 [kworker/0:1H-events_highpri]
root         212       2  0 11:53 ?        00:00:01 [jbd2/sda1-8]
root         213       2  0 11:53 ?        00:00:00 [ext4-rsv-conver]
root         215       2  0 11:53 ?        00:00:01 [kworker/3:1H-events_highpri]
root         246       1  0 11:53 ?        00:00:01 /usr/lib/systemd/systemd-journald
root         263       2  0 11:53 ?        00:00:00 [iprt-VBoxWQueue]
root         264       2  0 11:53 ?        00:00:00 [iprt-VBoxTscThr]
root         315       1  0 11:53 ?        00:00:01 /usr/lib/systemd/systemd-udevd
root         319       1  0 11:53 ?        00:00:00 /usr/bin/lvmetad -f
root         342       2  0 11:53 ?        00:00:00 [irq/29-mei_me]
root         344       2  0 11:53 ?        00:00:00 [tpm_dev_wq]
root         353       2  0 11:53 ?        00:00:00 [cfg80211]
root         369       2  0 11:53 ?        00:00:00 [ktpacpid]
root         392       2  0 11:53 ?        00:00:52 [irq/31-iwlwifi]
root         411       2  0 11:53 ?        00:00:00 [cryptd]
systemd+     550       1  0 11:53 ?        00:00:01 /usr/lib/systemd/systemd-resolved
root         855       1  0 11:53 ?        00:00:00 /usr/bin/crond -n
dbus         856       1  0 11:53 ?        00:00:05 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         857       1  0 11:53 ?        00:00:03 /usr/bin/NetworkManager --no-daemon
polkitd      859       1  0 11:53 ?        00:00:01 /usr/lib/polkit-1/polkitd --no-debug
root         861       1  0 11:53 ?        00:00:00 /usr/lib/systemd/systemd-logind
root         890       2  0 11:53 ?        00:00:00 [kworker/u17:1-rb_allocator]
root         893       1  0 11:53 ?        00:00:00 /usr/lib/bluetooth/bluetoothd
root         911       1  0 11:53 ?        00:00:00 /usr/bin/gdm
root         943       1  0 11:53 ?        00:00:00 /usr/lib/accounts-daemon
mysql        949       1  0 11:53 ?        00:00:11 /usr/bin/mysqld
root         970       1  0 11:53 ?        00:00:00 /usr/bin/ModemManager
root         994       1  0 11:53 ?        00:00:00 /usr/bin/wpa_supplicant -u -s -O /run/wpa_supplicant
root        1007       1  0 11:53 ?        00:00:00 /usr/lib/mbim-proxy
root        1268       1  0 11:54 ?        00:00:00 /usr/bin/cupsd -l
root        1335       1  0 11:54 ?        00:00:00 /usr/lib/upowerd
rtkit       1365       1  0 11:54 ?        00:00:00 /usr/lib/rtkit-daemon
colord      1495       1  0 11:54 ?        00:00:00 /usr/lib/colord
root        1538       2  0 11:54 ?        00:00:00 [krfcommd]
root        1555     911  0 11:55 ?        00:00:00 gdm-session-worker [pam/gdm-password]
john        1569       1  0 11:55 ?        00:00:00 /usr/lib/systemd/systemd --user
john        1570    1569  0 11:55 ?        00:00:00 (sd-pam)
john        1581       1  0 11:55 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
john        1588    1555  0 11:55 tty2     00:00:00 /usr/lib/gdm-x-session --run-script /usr/bin/gnome-session
